event spreadsheets	event type	event name	threat	description	money affected	reputation	Energy	bex income	polution affected (between -3 to 5	time	cost	run over	event prereq
Comp	major	Pandemic	"A massive worldwide pandemic known as “Corvid-18” has swept through your city. Citizens, and businesses alike have requested aid while they wait for federal aid. Helping could be beneficial to keep things running smoothly until this pandemic passes."	Due to the contribution from the municipal government the city-at-large was able to get through the pandemic with little issues!	0	0	0	0	0	4	3	0	
Fail	major	Pandemic		"Without the help of the municipal government: many businesses closed down, and many citizens struggled to make it through the Corvid-18 pandemic."	-5	-5	0	0	0	4	3	0	
Comp	major	Foreign Invasion	The country to the south has launched an invasion of the country! In order to fight back against this conquest the federal government is requesting financial support from the cities to prevent a total collapse of the country at large to fascism!	"Due to the aid provided from the city, the country was able to successfully push back, and beat the invasion from the fascism southern country!"	0	0	0	0	1	4	4	0	
Fail	major	Foreign Invasion		"Without the aid of the entire country banding together the threat from the south was able to fully take over the country and your city, removing you from position and imprisoning you for the foreseeable future. Such threats should not be taken lightly"	0	0	0	0	1	4	4	1	
Comp	major	City wide Power Outage	A major thunderstorm has swept through the city and fried the power grid. The city is now requesting an increase in funding to help get the power grid back up and running both for the citizens' use as well as the infrastructure that needs it!	"The funds that were put into restoring the power grid was a great benefit! This led to not only a restoration of the power grid, but it being improved resulting in many folks finding themselves better off than before!"	0	3	3	0	1	2	2	0	
Fail	major	City wide Power Outage		"Without extra funding from the municipal government the city's power grid ended up with delays in getting repaired and restarted, Many citizens and businesses felt the pains of not having power and as a result grew more frustrated!"	0	-5	-5	0	-2	2	2	0	
Comp	major	Bexley Inc Bullshit 1: Social Media App Bought	"Mr. Bexley recently talked about buying the social media app “Cwitter”, initially many people viewed it as a joke, however it seems like the owners of Cwitter were interested. After several months of talking Mr. Bexley has now tried to back out a deal that he legally cannot back out of. Having now been obligated to follow through with his poor decision Mr. Bexley is now requesting a small bailout."	"With help from you, Mr. Bexley was able to maintain his position after the deal went through, Now the owner of Cwitter Mr. Bexley has decided to “clean house” and change a lot of aspects of the app, he also chose to rename the app to “Z”. Many users report that the app is “unusable now”"	0	0	0	1	2	4	2	0	
Fail	major	Bexley Inc Bullshit 1: Social Media App Bought		"Without your aid Mr. Bexley had to forgo purchasing his third mansion in order to fulfill his contractual obligation in purchasing Cwitter. Many changes have since been made to Cwitter, now called “Z”. Additionally, Mr. Bexley later went on a lengthy on a Cwitter rant about “someone” before quickly deleting it. Hopefully he isn’t mad for long..."	0	0	0	-3	1	4	2	0	
Comp	major	Bexley Inc Bullshit 2: Residential neighbourhood displaced	"Mr. Bexley has recently grown interested in cryptocurrencies. With plans of launching his own crypto by the name of “BexBucks”, Mr. Bexley bought a residential neighbourhood for the data centre for his crypto. As a result of Bexley Inc’s business the people who live there have now found themselves displaced. Now the residents of the area are demanding the city help re-home the displaced families."	"The citizens affected by the Bexley Inc buyout have all been properly taken care of and subsidized, as a result many of the families present have shown their support in a variety of ways"	0	3	0	0	3	3	3	0	
Fail	major	Bexley Inc Bullshit 2: Residential neighbourhood displaced		"The refusal to help the citizens caused many to suffer, and resent you, and while some were able to bounce back through help from friends, family or preexisting homeless shelters many weren’t so lucky."	0	-5	0	0	4	3	3	0	
Comp	major	Bexley Inc Bullshit 3: Data Centre poisoned water	due to mismanagement by Bexley Inc their data centre has started leaking waste into a local river which has caused a massive contamination of the cities water supply. Mr. Bexley has requested your help in the decontamination process as Mr. Bexley is too busy taking his cryptocurrency “BexBucks” “to the moon” as he’s been saying.	"Decontamination efforts were a success! Bexley Inc’s data centre was shut down while the decontamination efforts were under way and yet to start up again. Although Mr. Bexley doesn’t seem to upset by this, as he seems to have moved on from Crypto"	0	0	0	1	2	4	3	0	Bexley Inc Bullshit 2: Residential neighbourhood displaced
Fail	major	Bexley Inc Bullshit 3: Data Centre poisoned water		"Bexley Inc was forced to fund the decontamination efforts themselves. The efforts were slow and poorly managed which resulted in many going without clean water, and the industry sector taking a hit. Things were eventually finished, with Mr. Bexley being unable to purchase the new yacht he had been eyeing, much to his chagrin. Hopefully he will be able to move past this..."	0	-5	-4	-2	6	4	3	0	Bexley Inc Bullshit 2: Residential neighbourhood displaced
